Title,url,tag_list,tag_list2
CASIO G-SHOCK,https://www.youtube.com/watch?v=-eUiU2J6szw,"Male,Wearing_Casuals,Young(16-35yrs.),Male,Wearing_Casuals,Young(16-35yrs.),Students,HigherMiddleClass,UpperClass,MiddleAge(35-55yrs.),VisibleCheekBones(Fit),BrownHair,BlackHair,GrayHair,WhiteHair,ColourHighlights,ColourStreaks,DenseBeard,Mustaches","Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,LowIncomeGroup,LowMiddleClass,Specatacles,Sunglasses,Kids(1-15yrs.),RosyCheeks,ChubbyFace,DoubleChin,BigNose,BigLips,BushyEyeBrows,DarkCircles,HeavyMakeup,Bald,StraightHair,WavyHair,Bangs,RecedingHairline,DarkCircleundereyes"
Chanel Gabrielle Perfume,https://www.youtube.com/watch?v=9kgeRleqX_0,"Female,OfficeProfessionals,Wearing_Lipstick,HigherMiddleClass,UpperClass,Young(16-35yrs.),MiddleAge(35-55yrs.),RosyCheeks,HeavyMakeup,NoBeard,Female,OfficeProfessionals,Wearing_Lipstick,HigherMiddleClass,UpperClass,Young(16-35yrs.),MiddleAge(35-55yrs.),RosyCheeks,HeavyMakeup,NoBeard,Wearing_Earrings,Wearing_Necklace,Wearing_Formals,Wearing_Casuals,Old(55yrs.above),WavyHair,Bangs,ColourHighlights","Male,LowIncomeGroup,LowMiddleClass,Kids(1-15yrs.),Bald,RecedingHairline,SlightBeard,DenseBeard,Mustaches"
Clearly Blue Reflect Lenses,https://www.youtube.com/watch?v=E49cpwEpSxQ,"Students,OfficeProfessionals,Wearing_Formals,Wearing_Necktie,MiddleClass,HigherMiddleClass,Specatacles,Young(16-35yrs.),MiddleAge(35-55yrs.),Students,OfficeProfessionals,Wearing_Formals,Wearing_Necktie,MiddleClass,HigherMiddleClass,Specatacles,Young(16-35yrs.),MiddleAge(35-55yrs.),Male,Female,LowMiddleClass,UpperClass,DarkCircleundereyes",Kids(1-15yrs.)
Dark and Lovely Fade Resist Hair Color,https://www.youtube.com/watch?v=yP4A6r34Vd8,"Female,Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,HigherMiddleClass,UpperClass,Young(16-35yrs.),MiddleAge(35-55yrs.),Old(55yrs.above),RosyCheeks,HeavyMakeup,WhiteHair,ColourHighlights,ColourStreaks,Female,Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,HigherMiddleClass,UpperClass,Young(16-35yrs.),MiddleAge(35-55yrs.),Old(55yrs.above),RosyCheeks,HeavyMakeup,WhiteHair,ColourHighlights,ColourStreaks,OfficeProfessionals,Wearing_Formals,Wearing_Casuals,MiddleClass,BigLips,BrownHair,BlackHair,GrayHair",Bald
Deepika Padukone | Tanishq ,https://www.youtube.com/watch?v=-Fn0ecHHmOk,"Female,OfficeProfessionals,Wearing_Earrings,Wearing_Necklace,HigherMiddleClass,UpperClass,MiddleAge(35-55yrs.),Old(55yrs.above),Bald,Bangs,Female,OfficeProfessionals,Wearing_Earrings,Wearing_Necklace,HigherMiddleClass,UpperClass,MiddleAge(35-55yrs.),Old(55yrs.above),Bald,Bangs,Male,Wearing_Lipstick,Wearing_Formals,Specatacles,Young(16-35yrs.),GrayHair,WhiteHair,ColourHighlights","LowIncomeGroup,LowMiddleClass,Kids(1-15yrs.)"
"Diesel ""Kick Ass"" Shoes ",https://www.youtube.com/watch?v=0ljPuSfPbSw,"Male,Students,Young(16-35yrs.),Male,Students,Young(16-35yrs.),Female,LowMiddleClass,MiddleClass,HigherMiddleClass,Kids(1-15yrs.),VisibleCheekBones(Fit)","Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,Wearing_Formals,Wearing_Necktie,RosyCheeks,BigNose,BigLips,HeavyMakeup,Bald,Bangs,RecedingHairline"
Disney World & Disney Cruise,https://www.youtube.com/watch?v=-B7oSp8hfF0,"Students,MiddleClass,HigherMiddleClass,UpperClass,Kids(1-15yrs.),Young(16-35yrs.),Students,MiddleClass,HigherMiddleClass,UpperClass,Kids(1-15yrs.),Young(16-35yrs.),OfficeProfessionals,LowMiddleClass,MiddleAge(35-55yrs.),ChubbyFace,DoubleChin,SlightBeard,DenseBeard,Mustaches,Goatee","Bald,RecedingHairline"
Dolce&Gabbana Eyewear,https://www.youtube.com/watch?v=qpjb-gqaSJA,"Male,Female,OfficeProfessionals,Wearing_Earrings,Wearing_Lipstick,HigherMiddleClass,UpperClass,Specatacles,MiddleAge(35-55yrs.),Old(55yrs.above),Male,Female,OfficeProfessionals,Wearing_Earrings,Wearing_Lipstick,HigherMiddleClass,UpperClass,Specatacles,MiddleAge(35-55yrs.),Old(55yrs.above),Wearing_Necklace,Wearing_Formals,Sunglasses,Young(16-35yrs.),Bald,StraightHair,WavyHair,Bangs,RecedingHairline,GrayHair,WhiteHair","LowIncomeGroup,LowMiddleClass,Kids(1-15yrs.)"
FACE THE SUN | Sunglass,https://www.youtube.com/watch?v=5vsWmZ2Fr5Q,"Male,Female,OfficeProfessionals,Wearing_Formals,Wearing_Casuals,Sunglasses,Young(16-35yrs.),MiddleAge(35-55yrs.),ColourHighlights,ColourStreaks,DenseBeard,Mustaches,Male,Female,OfficeProfessionals,Wearing_Formals,Wearing_Casuals,Sunglasses,Young(16-35yrs.),MiddleAge(35-55yrs.),ColourHighlights,ColourStreaks,DenseBeard,Mustaches,Wearing_Necktie,MiddleClass,HigherMiddleClass,Specatacles,Bald,StraightHair,WavyHair,Bangs,GrayHair,SlightBeard","LowIncomeGroup,Kids(1-15yrs.)"
Gucci Presents: Men’s ,https://www.youtube.com/watch?v=u9FEg5qur14,"Male,OfficeProfessionals,Wearing_Formals,Wearing_Necktie,UpperClass,Young(16-35yrs.),MiddleAge(35-55yrs.),Bald,GrayHair,WhiteHair,DenseBeard,Mustaches,Male,OfficeProfessionals,Wearing_Formals,Wearing_Necktie,UpperClass,Young(16-35yrs.),MiddleAge(35-55yrs.),Bald,GrayHair,WhiteHair,DenseBeard,Mustaches,HigherMiddleClass,Old(55yrs.above),RecedingHairline,NoBeard,SlightBeard","Female,Students,Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,LowIncomeGroup,LowMiddleClass,MiddleClass,Kids(1-15yrs.),RosyCheeks,ChubbyFace,DoubleChin,VisibleCheekBones(Fit),BigNose,BigLips,HeavyMakeup,ColourHighlights,ColourStreaks"
